Season,Team,Wins,Losses,PointsPerGame,PointsAllowed,NetRating,OffensiveRating,DefensiveRating,ThreePointPct,FreeThrowPct,ReboundsPerGame,AssistsPerGame,TurnoversPerGame,PaceScore,MadePlayoffs
2019-20,Milwaukee Bucks,56,17,118.7,108.0,10.7,115.3,104.6,0.382,0.758,50.2,26.1,14.2,103.0,1
2019-20,Los Angeles Lakers,52,19,113.4,107.6,5.8,112.6,106.8,0.348,0.694,47.7,26.1,14.4,100.0,1
2019-20,Toronto Raptors,53,19,113.4,107.8,5.6,111.6,105.8,0.378,0.794,46.9,24.3,13.4,98.2,1
2019-20,Boston Celtics,48,24,112.3,108.0,4.3,111.1,106.8,0.372,0.778,45.7,23.2,13.7,98.3,1
2019-20,Miami Heat,44,29,112.9,109.7,3.2,110.6,107.4,0.379,0.745,43.7,24.8,14.0,100.1,1
2019-20,Denver Nuggets,46,27,111.2,109.0,2.2,110.3,108.1,0.356,0.758,47.8,25.7,14.1,97.8,1
2019-20,Oklahoma City Thunder,44,28,110.8,108.5,2.3,110.2,107.9,0.355,0.752,44.4,23.9,14.3,99.7,1
2019-20,Houston Rockets,44,28,117.0,112.8,4.2,114.2,110.0,0.368,0.804,42.5,25.5,15.2,102.1,1
2019-20,Indiana Pacers,45,28,107.7,106.7,1.0,108.4,107.4,0.366,0.772,45.0,23.6,13.4,96.8,1
2019-20,Utah Jazz,44,28,112.3,110.0,2.3,111.4,109.1,0.370,0.793,44.1,24.7,14.0,97.7,1
2019-20,Philadelphia 76ers,43,30,110.0,109.5,0.5,109.7,109.2,0.355,0.757,47.1,23.3,14.9,98.5,1
2019-20,Dallas Mavericks,43,32,116.7,113.0,3.7,115.9,112.2,0.368,0.741,45.4,27.9,15.1,100.2,1
2019-20,Portland Trail Blazers,35,39,115.7,117.2,-1.5,112.6,114.1,0.375,0.800,43.2,23.1,14.7,101.9,1
2019-20,Sacramento Kings,31,41,113.2,116.0,-2.8,110.6,113.4,0.361,0.763,43.7,26.6,15.2,101.9,0
2019-20,San Antonio Spurs,32,39,109.9,112.0,-2.1,108.4,110.5,0.358,0.771,43.6,22.8,13.8,97.6,0
2019-20,New Orleans Pelicans,30,42,114.1,116.4,-2.3,111.8,114.1,0.355,0.770,43.8,25.7,15.3,101.3,0
2019-20,Chicago Bulls,22,43,107.8,112.5,-4.7,106.5,111.2,0.348,0.737,43.5,23.8,15.3,99.1,0
2019-20,Detroit Pistons,20,46,107.8,113.7,-5.9,106.8,112.7,0.341,0.754,44.3,22.1,14.4,98.9,0
2019-20,Atlanta Hawks,20,47,110.0,116.4,-6.4,108.9,115.3,0.353,0.747,42.0,24.5,15.9,101.9,0
2020-21,Utah Jazz,52,20,116.3,108.0,8.3,116.3,108.0,0.392,0.798,44.8,26.7,13.7,99.3,1
2020-21,Phoenix Suns,51,21,115.3,109.5,5.8,114.0,108.2,0.390,0.809,43.1,26.2,13.5,97.9,1
2020-21,Philadelphia 76ers,49,23,111.7,106.4,5.3,113.0,107.7,0.371,0.782,46.2,25.3,14.6,96.9,1
2020-21,Brooklyn Nets,48,24,117.0,112.2,4.8,117.3,112.5,0.396,0.831,43.7,26.3,15.5,101.0,1
2020-21,Milwaukee Bucks,46,26,120.1,114.2,5.9,117.4,111.5,0.394,0.748,48.3,27.4,14.8,101.6,1
2020-21,Denver Nuggets,47,25,113.7,109.6,4.1,113.0,108.9,0.360,0.764,47.3,26.7,14.8,97.5,1
2020-21,Los Angeles Clippers,47,25,113.0,108.8,4.2,111.3,107.1,0.379,0.800,43.4,24.7,13.8,99.2,1
2020-21,Dallas Mavericks,42,30,113.5,111.4,2.1,112.9,110.8,0.373,0.752,43.8,25.8,13.9,98.1,1
2020-21,Los Angeles Lakers,42,30,109.5,108.9,0.6,110.0,109.4,0.356,0.715,44.8,26.8,15.4,97.7,1
2020-21,Portland Trail Blazers,42,30,115.7,114.4,1.3,114.7,113.4,0.388,0.796,42.2,26.1,14.9,101.3,1
2020-21,Memphis Grizzlies,38,34,114.0,114.0,0.0,111.6,111.6,0.354,0.774,46.0,24.8,15.6,100.7,1
2020-21,Golden State Warriors,39,33,113.7,114.0,-0.3,111.2,111.5,0.390,0.787,43.5,27.8,15.1,99.5,1
2020-21,San Antonio Spurs,33,39,110.2,112.0,-1.8,109.2,111.0,0.362,0.773,44.7,24.0,14.1,96.7,0
2020-21,Indiana Pacers,34,38,111.5,112.9,-1.4,109.4,110.8,0.360,0.763,44.5,23.5,13.5,97.9,0
2020-21,Charlotte Hornets,33,39,113.1,114.1,-1.0,111.0,112.0,0.380,0.794,42.2,25.3,15.5,101.1,0
2020-21,Chicago Bulls,31,41,109.5,113.0,-3.5,107.8,111.3,0.361,0.763,44.0,22.7,15.3,99.0,0
2020-21,New York Knicks,41,31,105.8,104.7,1.1,108.2,107.1,0.368,0.752,44.5,24.7,13.5,96.0,1
2021-22,Golden State Warriors,53,29,111.2,107.2,4.0,112.4,108.4,0.389,0.788,44.4,29.5,15.2,99.0,1
2021-22,Phoenix Suns,64,18,115.3,109.0,6.3,116.0,109.7,0.376,0.814,44.5,26.4,13.4,98.0,1
2021-22,Memphis Grizzlies,56,26,115.7,111.5,4.2,114.7,110.5,0.349,0.758,48.5,26.8,16.0,100.7,1
2021-22,Boston Celtics,51,31,111.8,104.5,7.3,115.0,107.7,0.376,0.771,46.2,24.7,13.0,96.9,1
2021-22,Milwaukee Bucks,51,31,114.8,111.4,3.4,113.9,110.5,0.358,0.756,48.3,26.0,14.6,100.6,1
2021-22,Miami Heat,53,29,110.0,105.0,5.0,112.5,107.5,0.362,0.781,42.6,26.1,13.0,96.8,1
2021-22,Dallas Mavericks,52,30,112.2,107.7,4.5,114.0,109.5,0.358,0.773,44.1,24.6,13.0,97.1,1
2021-22,Philadelphia 76ers,51,31,111.5,109.5,2.0,113.5,111.5,0.359,0.795,46.3,24.1,13.5,97.2,1
2021-22,Utah Jazz,49,33,114.6,112.5,2.1,114.8,112.7,0.378,0.784,45.0,27.6,14.6,98.7,1
2021-22,Cleveland Cavaliers,44,38,108.4,106.9,1.5,111.2,109.7,0.345,0.756,47.9,25.0,13.2,96.9,1
2021-22,Toronto Raptors,48,34,111.7,109.2,2.5,112.2,109.7,0.365,0.796,44.5,25.7,14.7,99.5,1
2021-22,Chicago Bulls,46,36,111.7,110.3,1.4,110.2,108.8,0.354,0.757,43.4,24.7,14.6,99.7,1
2021-22,Minnesota Timberwolves,46,36,115.8,114.7,1.1,113.8,112.7,0.367,0.777,45.5,25.8,15.8,100.9,1
2021-22,Denver Nuggets,48,34,111.0,109.0,2.0,112.0,110.0,0.356,0.780,47.0,27.4,14.1,97.0,1
2021-22,New Orleans Pelicans,36,46,112.5,113.2,-0.7,111.2,111.9,0.352,0.766,45.3,24.0,15.5,101.2,1
2021-22,Sacramento Kings,30,52,114.0,116.5,-2.5,111.5,114.0,0.358,0.787,42.5,25.5,14.8,101.5,0
2021-22,San Antonio Spurs,34,48,111.5,114.0,-2.5,110.0,112.5,0.358,0.770,43.1,23.2,14.5,99.1,0
2021-22,Oklahoma City Thunder,24,58,106.7,116.0,-9.3,108.0,117.3,0.338,0.760,44.1,22.8,16.2,99.8,0
2022-23,Boston Celtics,57,25,117.9,109.6,8.3,118.0,109.7,0.377,0.778,46.4,27.1,14.4,98.5,1
2022-23,Milwaukee Bucks,58,24,116.9,112.1,4.8,117.2,112.4,0.376,0.773,48.2,27.5,14.6,101.0,1
2022-23,Denver Nuggets,53,29,115.6,110.7,4.9,116.0,111.1,0.371,0.793,47.5,30.1,13.8,97.8,1
2022-23,Sacramento Kings,48,34,120.7,116.0,4.7,118.0,113.3,0.380,0.806,44.5,31.1,16.0,102.5,1
2022-23,Memphis Grizzlies,51,31,116.2,113.0,3.2,115.0,111.8,0.342,0.757,47.1,27.0,16.2,101.1,1
2022-23,Cleveland Cavaliers,51,31,111.5,108.2,3.3,113.5,110.2,0.366,0.761,46.8,26.1,13.8,97.1,1
2022-23,New York Knicks,47,35,112.8,111.5,1.3,113.0,111.7,0.362,0.792,44.5,25.0,13.5,97.5,1
2022-23,Phoenix Suns,45,37,115.6,113.7,1.9,114.5,112.6,0.375,0.788,43.6,27.1,14.2,99.2,1
2022-23,Golden State Warriors,44,38,118.9,117.2,1.7,116.5,114.8,0.388,0.807,43.5,29.9,16.2,100.4,1
2022-23,Los Angeles Lakers,43,39,117.3,116.4,0.9,115.6,114.7,0.356,0.734,44.7,27.7,14.9,100.8,1
2022-23,Miami Heat,44,38,110.0,110.0,0.0,110.5,110.5,0.366,0.765,43.0,26.0,13.7,97.7,1
2022-23,Minnesota Timberwolves,42,40,114.6,114.2,0.4,113.8,113.4,0.365,0.784,46.7,25.0,14.9,98.8,1
2022-23,Oklahoma City Thunder,40,42,116.0,116.5,-0.5,115.0,115.5,0.356,0.764,44.9,27.0,16.0,99.8,0
2022-23,Toronto Raptors,41,41,114.0,115.2,-1.2,112.5,113.7,0.361,0.795,45.0,26.1,15.0,101.2,0
2022-23,Dallas Mavericks,38,44,114.2,114.8,-0.6,113.7,114.3,0.371,0.767,43.5,27.0,14.2,98.9,0
2022-23,Utah Jazz,37,45,115.2,116.5,-1.3,113.7,115.0,0.372,0.777,45.5,27.0,15.4,99.0,0
2022-23,Charlotte Hornets,27,55,113.3,118.3,-5.0,111.0,116.0,0.347,0.778,42.8,24.5,15.8,101.5,0
2022-23,Detroit Pistons,17,65,109.0,120.5,-11.5,108.0,119.5,0.335,0.730,44.9,22.5,16.0,100.4,0
2023-24,Boston Celtics,64,18,120.6,109.7,10.9,122.2,111.3,0.386,0.783,47.3,27.8,13.5,99.1,1
2023-24,Oklahoma City Thunder,57,25,119.5,112.1,7.4,120.2,112.8,0.378,0.779,47.5,27.7,14.9,99.4,1
2023-24,Minnesota Timberwolves,56,26,113.1,106.4,6.7,115.0,108.3,0.370,0.790,47.2,26.3,13.7,97.6,1
2023-24,Denver Nuggets,57,25,114.6,109.5,5.1,116.4,111.3,0.371,0.796,47.5,31.4,14.3,97.4,1
2023-24,Cleveland Cavaliers,48,34,112.5,108.1,4.4,113.9,109.5,0.358,0.783,46.4,26.2,12.9,96.2,1
2023-24,New York Knicks,50,32,115.0,110.5,4.5,114.6,110.1,0.360,0.776,46.3,27.4,14.5,97.7,1
2023-24,Indiana Pacers,47,35,123.4,119.2,4.2,120.1,115.9,0.377,0.802,43.6,29.8,15.8,104.2,1
2023-24,Milwaukee Bucks,49,33,119.0,115.0,4.0,117.4,113.4,0.374,0.749,48.5,27.8,14.9,101.3,1
2023-24,Dallas Mavericks,50,32,117.4,110.5,6.9,118.4,111.5,0.369,0.767,44.5,27.5,13.9,99.3,1
2023-24,Orlando Magic,47,35,108.8,105.2,3.6,113.3,109.7,0.357,0.758,47.5,25.0,12.7,96.5,1
2023-24,Phoenix Suns,49,33,115.5,113.8,1.7,114.8,113.1,0.371,0.792,44.1,28.0,14.3,99.3,1
2023-24,Los Angeles Lakers,47,35,118.0,115.0,3.0,116.0,113.0,0.361,0.728,44.3,28.8,14.7,101.6,1
2023-24,New Orleans Pelicans,49,33,113.1,109.4,3.7,114.2,110.5,0.356,0.767,45.6,27.7,14.0,98.0,1
2023-24,Miami Heat,46,36,111.5,111.1,0.4,112.2,111.8,0.363,0.771,43.1,27.3,13.8,98.6,1
2023-24,Philadelphia 76ers,47,35,113.1,111.5,1.6,113.6,112.0,0.372,0.813,44.6,26.1,13.7,97.9,1
2023-24,Sacramento Kings,46,36,119.5,119.0,0.5,118.5,118.0,0.380,0.812,44.2,29.3,15.8,102.3,1
2023-24,Golden State Warriors,46,36,118.1,117.3,0.8,115.8,115.0,0.382,0.792,44.0,30.4,15.8,100.6,1
2023-24,Chicago Bulls,39,43,113.2,114.9,-1.7,112.2,113.9,0.360,0.772,43.9,25.1,14.8,100.2,0
2023-24,Atlanta Hawks,36,46,117.6,120.1,-2.5,116.0,118.5,0.378,0.774,43.7,27.0,16.1,101.5,0
2023-24,Toronto Raptors,25,57,112.0,118.3,-6.3,110.5,116.8,0.352,0.778,43.9,26.7,15.1,100.5,0
2023-24,Utah Jazz,31,51,115.8,119.2,-3.4,114.5,117.9,0.367,0.776,46.0,27.5,15.0,100.2,0
2023-24,San Antonio Spurs,22,60,112.2,122.5,-10.3,111.1,121.4,0.348,0.757,44.4,25.0,15.8,100.3,0
2023-24,Detroit Pistons,14,68,107.0,122.0,-15.0,108.0,123.0,0.330,0.725,44.1,22.7,16.1,100.5,0
